date,subject,predicate,object,extracted_entities
2023-05-16,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",discourages imports,reserves fall curbs imports,"[{'name': 'reserves', 'label': 'Macroeconomic Indicator'}, {'name': 'fall', 'label': 'Economic Trend'}, {'name': 'reserves fall', 'label': 'Economic Trend'}, {'name': 'curbs', 'label': 'Policy Measure'}, {'name': 'imports', 'label': 'Trade Flow'}, {'name': 'curbs imports', 'label': 'Trade Policy'}]"
2023-02-24,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases imports,government measures increased imports,"[{'name': 'government measures', 'label': 'Policy Measure'}, {'name': 'government', 'label': 'Actor'}, {'name': 'increased', 'label': 'Directional Change'}, {'name': 'imports', 'label': 'Trade Flow'}, {'name': 'government measures increased imports', 'label': 'Causal Relation'}]"
2023-06-01,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",discourages import,higher regulatory duties,"[{'name': 'higher regulatory duties', 'label': 'Regulatory Obligation'}, {'name': 'higher', 'label': 'Magnitude'}, {'name': 'regulatory', 'label': 'Policy Attribute'}, {'name': 'duties', 'label': 'Obligation'}]"
2023-06-01,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",encourages container import,container duty reduction,"[{'name': 'container', 'label': 'Logistics Asset'}, {'name': 'duty', 'label': 'Tariff'}, {'name': 'container duty', 'label': 'Tariff'}, {'name': 'reduction', 'label': 'Policy Action'}, {'name': 'container duty reduction', 'label': 'Tariff Reduction'}]"
2023-01-01,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",negatively impacts imports,currency crisis reduces imports,"[{'name': 'currency crisis', 'label': 'Financial Crisis'}, {'name': 'reduces', 'label': 'Causal Mechanism'}, {'name': 'imports', 'label': 'Trade Flow'}]"
2023-06-06,The difference between country-wide imports and exports.,cuts exports,production disruptions reduce exports,"[{'name': 'production disruptions', 'label': 'Supply Chain Disruption'}, {'name': 'reduce', 'label': 'Causal Mechanism'}, {'name': 'exports', 'label': 'Trade Flow'}]"
2023-07-14,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",discourages imports,62% import tariff,"[{'name': '62%', 'label': 'Percentage'}, {'name': 'tariff', 'label': 'Trade Barrier'}, {'name': 'import', 'label': 'Trade Direction'}]"
2023-07-19,The difference between country-wide imports and exports.,strengthens balance_of_trade,imports fell sharply,"[{'name': 'imports', 'label': 'Macroeconomic Indicator'}, {'name': 'fell', 'label': 'Decrease'}, {'name': 'sharply', 'label': 'Intensity'}, {'name': 'imports fell sharply', 'label': 'Macroeconomic Trend'}]"
2023-01-01,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",negatively impacts imports,currency crisis affecting imports,"[{'name': 'currency crisis', 'label': 'Financial Crisis'}, {'name': 'currency', 'label': 'Monetary Unit'}, {'name': 'crisis', 'label': 'Crisis'}, {'name': 'imports', 'label': 'International Trade'}, {'name': 'affecting', 'label': 'Causal Mechanism'}]"
2023-07-03,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases import volume,government permission triggered imports,"[{'name': 'government', 'label': 'Governing Body'}, {'name': 'permission', 'label': 'Regulatory Action'}, {'name': 'triggered', 'label': 'Causal Mechanism'}, {'name': 'imports', 'label': 'Trade Flow'}, {'name': 'government permission triggered imports', 'label': 'Policy Outcome'}]"
2023-02-23,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces imports,banks refuse LCs,"[{'name': 'banks', 'label': 'Financial Institution'}, {'name': 'refuse', 'label': 'Action'}, {'name': 'LCs', 'label': 'Financial Instrument'}]"
2023-06-05,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",drives up import costs,Taka depreciation raises costs,"[{'name': 'Taka depreciation', 'label': 'Exchange Rate Movement'}, {'name': 'Taka', 'label': 'Currency'}, {'name': 'depreciation', 'label': 'Exchange Rate Movement'}, {'name': 'raises', 'label': 'Causal Mechanism'}, {'name': 'costs', 'label': 'Economic Cost'}]"
