,json_file,title,date,url,source,feature,edge_label,event_summary,evidence_quote,quote_similarity,quote_best_match,judge_verdict,judge_reasoning,new_subject,new_predicate,new_object,new_triplet
10,llm_response_0054_Northern_Ireland_News_20230516.json,Bangladesh government should think twice before trading in Chinese currency: Report,2023-05-16,https://www.northernirelandnews.com/news/273832902/bangladesh-government-should-think-twice-before-trading-in-chinese-currency-report,Northern Ireland News,imports,discourages imports,foreign reserves fall,This has compelled the government to discourage unnecessary imports and cut spending,0.994,"This has compelled the government to discourage unnecessary imports and cut spending,",CONFIRMED,"The exact sentence appears in the article ('This has compelled the government to discourage unnecessary imports and cut spending...') and clearly links falling reserves ('This') as the reason for the government discouraging imports; the action is described at the national government level, matching the scope.",Falling foreign reserves,discourages imports,Unnecessary imports,(Falling foreign reserves) ── discourages imports ──> (Unnecessary imports)
11,llm_response_0067_Bangladesh_Sangbad_Sangstha_BSS_20230126.json,Refined sugar prices rise by Tk 5 per kg | Business,2023-01-26,https://www.bssnews.net/business/107336,Bangladesh Sangbad Sangstha (BSS),currency_log_return,increases cost,Dollar-driven sugar price rise,"The price was increased considering the price hike of unrefined sugar in the global market, dollar price increase, and increase in operational costs of local mills,",1.0,"The price was increased considering the price hike of unrefined sugar in the global market, dollar price increase, and increase in operational costs of local mills,",CONFIRMED,"The article contains the sentence attributing the price increase to 'dollar price increase' (quote present), explicitly stating that the price was raised for that reason (causal link), and discusses the decision at the national/industry level in Bangladesh (scope matches).",Dollar Price Increase,increases cost,Operational Costs of Local Mills,(Dollar Price Increase) ── increases cost ──> (Operational Costs of Local Mills)
12,llm_response_0070_ANN_20230607.json,High inflation and power crisis: PM Hasina asks ministries to find a way out,2023-06-07,https://asianews.network/high-inflation-and-power-crisis-pm-hasina-asks-ministries-to-find-a-way-out/,ANN,currency_log_return,increases import costs,dollar crisis raises prices,"Asked why the prices of certain products were rising in Bangladesh even though they were getting cheaper in the international market, Mannan said this happened because of the dollar crisis.",1.0,"Asked why the prices of certain products were rising in Bangladesh even though they were getting cheaper in the international market, Mannan said this happened because of the dollar crisis.",CONFIRMED,"The article directly quotes Mannan saying rising domestic prices happened 'because of the dollar crisis' and explains the taka's loss of value raises the 'actual buying price,' explicitly linking the dollar crisis (exchange-rate effect) to higher import/domestic prices for Bangladesh.",Dollar Crisis,increases import costs,Prices of Certain Products in Bangladesh,(Dollar Crisis) ── increases import costs ──> (Prices of Certain Products in Bangladesh)
13,llm_response_0072_europesuncom_20230516.json,Bangladesh government should think twice before trading in Chinese currency: Report,2023-05-16,https://www.europesun.com/news/273832902/bangladesh-government-should-think-twice-before-trading-in-chinese-currency-report,europesun.com,imports,discourages imports,"reserves fall, imports discouraged",This has compelled the government to discourage unnecessary imports and cut spending,0.994,"This has compelled the government to discourage unnecessary imports and cut spending,",CONFIRMED,"The article contains the sentence 'This has compelled the government to discourage unnecessary imports and cut spending...', directly linking falling reserves to a government policy to discourage imports, and it refers to national-level (Bangladesh) policy affecting country-level imports.",Declining Foreign Reserves,discourages imports,Unnecessary Imports,(Declining Foreign Reserves) ── discourages imports ──> (Unnecessary Imports)
14,llm_response_0082_Bangladesh_Sangbad_Sangstha_BSS_20230601.json,Principles of budget should be to simplify people's lives through taming inflation: economists | National Budget 2023-2024,2023-06-01,https://www.bssnews.net/national-budget-2023-2024/127152,Bangladesh Sangbad Sangstha (BSS),imports,hampers imports,Lowering inflation hampers imports,The imports are being hampered due to the lowering trend of inflation for which there are dissimilarities between demand and supply.,1.0,The imports are being hampered due to the lowering trend of inflation for which there are dissimilarities between demand and supply.,CONFIRMED,"The article contains the sentence ‘‘The imports are being hampered due to the lowering trend of inflation...’’ which explicitly states a causal link and refers to imports at the national/economic level, matching the claimed scope.",Lowering Trend of Inflation,hampers imports,The Imports,(Lowering Trend of Inflation) ── hampers imports ──> (The Imports)
15,llm_response_0085_LatestLY_20230516.json,World News | Bangladesh Government Should Think Twice Before Trading in Chinese Currency: Report | LatestLY,2023-05-16,https://www.latestly.com/agency-news/world-news-bangladesh-government-should-think-twice-before-trading-in-chinese-currency-report-5130517.html,LatestLY,balance_of_trade,lowers export revenue,move to Yuan lowers exports,Moving to the Yuan for international trade will hurt Bangladesh's remittances from abroad and lower export revenue as well.,1.0,Moving to the Yuan for international trade will hurt Bangladesh's remittances from abroad and lower export revenue as well.,CONFIRMED,"The exact sentence appears in the article stating 'Moving to the Yuan for international trade will ... lower export revenue as well,' which is an explicit causal claim about Bangladesh's national export revenue, matching the balance_of_trade scope.",Move to the Yuan,lowers export revenue,Bangladesh's Export Revenue,(Move to the Yuan) ── lowers export revenue ──> (Bangladesh's Export Revenue)
16,llm_response_0085_LatestLY_20230516.json,World News | Bangladesh Government Should Think Twice Before Trading in Chinese Currency: Report | LatestLY,2023-05-16,https://www.latestly.com/agency-news/world-news-bangladesh-government-should-think-twice-before-trading-in-chinese-currency-report-5130517.html,LatestLY,imports,discourages imports,reserve decline prompts curbs,This has compelled the government to discourage unnecessary imports and cut spending,0.994,"This has compelled the government to discourage unnecessary imports and cut spending,",CONFIRMED,"The article contains the sentence ""This has compelled the government to discourage unnecessary imports and cut spending..."", linking falling reserves and related economic pressures directly to government actions to discourage imports, and the action is described at the national (country-wide) level.",Reserve Decline,discourages imports,Unnecessary Imports,(Reserve Decline) ── discourages imports ──> (Unnecessary Imports)
17,llm_response_0096_Prothomalo_20230521.json,"US key export destination, Saudi Arabia top remittance source",2023-05-21,https://en.prothomalo.com/business/local/sycr1wg79y,Prothomalo,balance_of_trade,increases trade deficit,imports exceed exports,"The import costs here are much higher than the export revenue. As a result, the trade deficit has to be met mainly with remittance.",0.769,"imports come from China and India. As a result, the trade deficit has to be met mainly with remittance.",CONFIRMED,"The article literally states 'The import costs here are much higher than the export revenue. As a result, the trade deficit has to be met mainly with remittance,' which explicitly links imports exceeding exports to creating a national trade deficit.",High Import Costs,increases trade deficit,Trade Deficit,(High Import Costs) ── increases trade deficit ──> (Trade Deficit)
18,llm_response_0109_Daily_Sun_20230605.json,PM sees next election as a challenge     | Daily Sun |,2023-06-05,https://www.daily-sun.com/post/693276/PM-sees-next-election-as-a-challenge,Daily Sun,balance_of_trade,increases exports,boost agricultural production,"boost up agricultural production by not keeping any piece of land uncultivated in the country, in order to meet the local demand and also export those.",1.0,"boost up agricultural production by not keeping any piece of land uncultivated in the country, in order to meet the local demand and also export those.",CONFIRMED,"The exact sentence appears in the article urging to ""boost up agricultural production... in order to meet the local demand and also export those,"" which explicitly links increasing production as a means to enable exports; the statement is made at the national level, matching the country-wide balance-of-trade scope.",Boosted Agricultural Production,increases exports,Agricultural Produce,(Boosted Agricultural Production) ── increases exports ──> (Agricultural Produce)
19,llm_response_0134_Bangladesh_Sangbad_Sangstha_BSS_20230527.json,CPD for coordination between monetary and fiscal policies to tame inflation | Business,2023-05-27,https://www.bssnews.net/business/127672,Bangladesh Sangbad Sangstha (BSS),currency_log_return,raises commodity prices,Taka–USD exchange impact,"Besides, the Taka and US dollar exchange rate is also playing a role to raise the price of commodities,",0.99,"""Besides, the Taka and US dollar exchange rate is also playing a role to raise the price of commodities,""",CONFIRMED,"The article contains the exact sentence stating the Taka–US dollar exchange rate 'is also playing a role to raise the price of commodities,' which explicitly asserts a causal effect and refers to the national (country-level) exchange rate impact on prices.",Taka and US Dollar Exchange Rate,raises commodity prices,Commodity Prices,(Taka and US Dollar Exchange Rate) ── raises commodity prices ──> (Commodity Prices)
20,llm_response_0135_Bangladesh_Sangbad_Sangstha_BSS_20230618.json,Rationalize public sector borrowing to encourage private borrowing: DCCI | Business,2023-06-18,https://www.bssnews.net/business/131959,Bangladesh Sangbad Sangstha (BSS),currency_log_return,stabilizes exchange rate,unified exchange rate adoption,a unified exchange rate will stabilize the market.,1.0,a unified exchange rate will stabilize the market.,CONFIRMED,"The article explicitly states ""a unified exchange rate will stabilize the market,"" which directly asserts a causal relationship (unified exchange rate → market/exchange-rate stability) at the national level discussed in the piece.",Unified Exchange Rate Adoption,stabilizes exchange rate,The Market,(Unified Exchange Rate Adoption) ── stabilizes exchange rate ──> (The Market)
21,llm_response_0142_Bangladesh_Sangbad_Sangstha_BSS_20230601.json,Proposed budget favorable to build Smart Bangladesh: Rangpur Chamber | Business,2023-06-01,https://www.bssnews.net/business/128643,Bangladesh Sangbad Sangstha (BSS),imports,discourages imports,increase regulatory duties,increase regulatory duties to discourage import of non-essential and luxury goods,0.994,"increase regulatory duties to discourage import of non-essential and luxury goods,",CONFIRMED,"The article contains the line stating the budget will ""increase regulatory duties to discourage import of non-essential and luxury goods,"" which explicitly links the duty increase as intended to discourage imports and is presented as a national budget measure (country-level scope).",Increase in Regulatory Duties,discourages imports,Non-Essential and Luxury Goods,(Increase in Regulatory Duties) ── discourages imports ──> (Non-Essential and Luxury Goods)
22,llm_response_0145_The_Financial_Express_20230102.json,"DCCI pushes to ensure smooth energy supply, improve ease of doing business in 2023",2023-01-02,https://thefinancialexpress.com.bd/trade/dcci-pushes-to-ensure-smooth-energy-supply-improve-ease-of-doing-business-in-2023-1672628067,The Financial Express,imports,negatively impacts imports,Taka devaluation hurts imports,"devaluation of the Taka against the US Dollar has challenged the country's financial sector, resulting in some negative impact on the import of energy, industrial raw materials",1.0,"devaluation of the Taka against the US Dollar has challenged the country's financial sector, resulting in some negative impact on the import of energy, industrial raw materials",CONFIRMED,"The article contains the sentence stating devaluation of the Taka 'has challenged the country's financial sector, resulting in some negative impact on the import of energy, industrial raw materials', which explicitly expresses a cause-and-effect link at the national level regarding imports.",Taka Devaluation,negatively impacts imports,Energy Imports,(Taka Devaluation) ── negatively impacts imports ──> (Energy Imports)
23,llm_response_0165_Bangladesh_Sangbad_Sangstha_BSS_20230719.json,Trade bodies for continuing 'Black Sea Grain Initiative Agreement'  | News,2023-07-19,https://www.bssnews.net/news/137156,Bangladesh Sangbad Sangstha (BSS),imports,disrupts imports,BSGI cessation disrupts wheat,disruption of smooth supply of wheat to feed millions of people around the world due to Russia's decision to axe the Black Sea Grain Initiative,1.0,disruption of smooth supply of wheat to feed millions of people around the world due to Russia's decision to axe the Black Sea Grain Initiative,CONFIRMED,"The article contains the quoted language saying the disruption of wheat supply is 'due to Russia's decision to axe the Black Sea Grain Initiative' and explicitly states the discontinuation 'will ... cause' humanitarian and supply disruptions; it frames this impact globally (millions of people, exports to 45 countries), matching the imports-level scope.",Russia's decision,disrupts imports,Wheat supply,(Russia's decision) ── disrupts imports ──> (Wheat supply)
24,llm_response_0171_Daily_Sun_20230220.json,Businessmen of West Bengal interested to invest in economic zones     | Daily Sun |,2023-02-20,https://www.daily-sun.com/post/675220/Businessmen-of-West-Bengal-interested-to-invest-in-economic-zones,Daily Sun,balance_of_trade,increases export receipts,economic zones boost exports,He said they are expecting to fetch additional export receipts of $40 billion per year by 2030 from these economic zones.,1.0,He said they are expecting to fetch additional export receipts of $40 billion per year by 2030 from these economic zones.,CONFIRMED,"The exact sentence appears in the article stating an expectation that the economic zones will 'fetch additional export receipts of $40 billion per year by 2030,' which explicitly links the economic zones to increased national export receipts.",Economic Zones,increases export receipts,Additional Export Receipts of $40 Billion,(Economic Zones) ── increases export receipts ──> (Additional Export Receipts of $40 Billion)
25,llm_response_0193_South_Asia_Journal_20230311.json,Bangladesh banks feel squeeze of Moody's outlook downgrade,2023-03-11,http://southasiajournal.net/bangladesh-banks-feel-squeeze-of-moodys-outlook-downgrade/,South Asia Journal,imports,reduces LC availability,dollar crisis stalls LCs,"But even before the outlook darkened, the dollar crisis was stalling new credit arrangements and payments on previous ones.",1.0,"But even before the outlook darkened, the dollar crisis was stalling new credit arrangements and payments on previous ones.",CONFIRMED,"The exact sentence appears in the article. The text explicitly links the 'dollar crisis' to stalling new credit arrangements and declines in letters of credit and payments (banks 'do not have enough dollars to settle import bills'), and this is discussed at the national (Bangladesh, import-dependent) level.",Dollar Crisis,reduces LC availability,New Credit Arrangements,(Dollar Crisis) ── reduces LC availability ──> (New Credit Arrangements)
26,llm_response_0193_South_Asia_Journal_20230311.json,Bangladesh banks feel squeeze of Moody's outlook downgrade,2023-03-11,http://southasiajournal.net/bangladesh-banks-feel-squeeze-of-moodys-outlook-downgrade/,South Asia Journal,imports,makes financing costlier,Moody's downgrade hinders transactions,cross-border financial transactions will become more difficult and costly for the import-dependent South Asian nation,0.996,cross-border financial transactions will become more difficult and costly for the import-dependent South Asian nation.,CONFIRMED,"The exact sentence appears in the article stating cross-border transactions will become ""more difficult and costly for the import-dependent South Asian nation,"" and multiple passages (including expert quotes) explicitly link Moody's downgrade to increased financing costs and impeded cross-border transactions at the national level for Bangladesh.",Moody's Downgrade,makes financing costlier,Cross-Border Financial Transactions,(Moody's Downgrade) ── makes financing costlier ──> (Cross-Border Financial Transactions)
27,llm_response_0196_Bangladesh_Sangbad_Sangstha_BSS_20230521.json,"Govt plans to import onion from India soon, Dr Razzaque  | News Flash",2023-05-21,https://www.bssnews.net/news-flash/126567,Bangladesh Sangbad Sangstha (BSS),imports,seeks to increase imports,government seeks onion import,commerce ministry already has requested to the ministry of agriculture for seeking onion import permission considering the price hike,1.0,commerce ministry already has requested to the ministry of agriculture for seeking onion import permission considering the price hike,CONFIRMED,"The article contains the quoted sentence (or a very close paraphrase) stating the commerce ministry requested import permission, explicitly saying this was 'considering the price hike,' and it refers to government-level action affecting national imports.",Commerce Ministry,seeks to increase imports,Onion Import Permission,(Commerce Ministry) ── seeks to increase imports ──> (Onion Import Permission)
28,llm_response_0215_Prothomalo_20230604.json,"Global prices fall, no  impact on local market woes",2023-06-04,https://en.prothomalo.com/business/local/1q4bvruzz4,Prothomalo,imports,disrupts imports,disruption of imports,disruption of imports due to the crisis,1.0,disruption of imports due to the crisis,CONFIRMED,"The exact phrase ""disruption of imports due to the crisis"" appears in the article, which explicitly states that the crisis caused disruption of imports. The statement clearly refers to imports at the country level, matching the feature's scope.",The crisis,disrupts imports,Imports,(The crisis) ── disrupts imports ──> (Imports)
29,llm_response_0233_Bangladesh_Sangbad_Sangstha_BSS_20230601.json,Proposed budget favorable to build Smart Bangladesh: Rangpur Chamber | Business,2023-06-01,https://www.bssnews.net/business/128643,Bangladesh Sangbad Sangstha (BSS),imports,encourages container imports,reduce container import duty,reduction of duty on container import to encourage import and export container business,0.994,reduction of duty on container import to encourage import and export container business.,CONFIRMED,"The article contains the sentence 'reduction of duty on container import to encourage import and export container business,' which explicitly states a causal intent (reduction of duty -> encourage container import/export business) in the national budget context, matching the imports-level scope.",Reduction of Container Import Duty,encourages container imports,Import and Export Container Business,(Reduction of Container Import Duty) ── encourages container imports ──> (Import and Export Container Business)
30,llm_response_0233_Bangladesh_Sangbad_Sangstha_BSS_20230601.json,Proposed budget favorable to build Smart Bangladesh: Rangpur Chamber | Business,2023-06-01,https://www.bssnews.net/business/128643,Bangladesh Sangbad Sangstha (BSS),imports,discourages imports,increase regulatory duties,increase regulatory duties to discourage import of non-essential and luxury goods,0.994,"increase regulatory duties to discourage import of non-essential and luxury goods,",CONFIRMED,"The article explicitly states ‘‘increase regulatory duties to discourage import of non-essential and luxury goods,’’ directly asserting a causal intent (higher duties -> discourage imports) and discusses imports at the national policy level.",Increased Regulatory Duties,discourages imports,Non-Essential and Luxury Goods,(Increased Regulatory Duties) ── discourages imports ──> (Non-Essential and Luxury Goods)
31,llm_response_0255_Global_Voices_20230301.json,Bangladesh reassesses its Belt and Road Initiative strategy with China as the US offers a new alternative,2023-03-01,https://globalvoices.org/2023/02/28/bangladesh-reassesses-its-belt-and-road-initiative-strategy-with-china-as-the-us-offers-a-new-alternative/,Global Voices,imports,makes importing difficult,dwindling foreign reserves,its dwindling foreign reserves are making it difficult to import the goods necessary to keep its economy rolling.,1.0,its dwindling foreign reserves are making it difficult to import the goods necessary to keep its economy rolling.,CONFIRMED,"The exact sentence appears in the article stating that Bangladesh's dwindling foreign reserves 'are making it difficult to import the goods necessary to keep its economy rolling,' which explicitly asserts a causal link at the national (country) level.",Dwindling Foreign Reserves,makes importing difficult,Imported Goods,(Dwindling Foreign Reserves) ── makes importing difficult ──> (Imported Goods)
32,llm_response_0258_Bangladesh_Sangbad_Sangstha_BSS_20230224.json,"Stocks sufficient, no shortage of essential commodities in Ramadan | News Flash",2023-02-24,https://www.bssnews.net/news-flash/112237,Bangladesh Sangbad Sangstha (BSS),imports,enables imports,LC openings resume imports,essential products against LCs opened recently have started coming to the market,0.988,"essential products against LCs opened recently have started coming to the market,""",CONFIRMED,"The exact sentence appears in the article and the text explicitly attributes increased imports/arrival of goods to easing/opening of LCs (government easing LCs -> goods have started coming), and this is discussed at the market/country import level consistent with the claimed scope.",Recently Opened LCs,enables imports,Essential Products,(Recently Opened LCs) ── enables imports ──> (Essential Products)
33,llm_response_0258_Bangladesh_Sangbad_Sangstha_BSS_20230224.json,"Stocks sufficient, no shortage of essential commodities in Ramadan | News Flash",2023-02-24,https://www.bssnews.net/news-flash/112237,Bangladesh Sangbad Sangstha (BSS),imports,increases imports,government measures increased imports,timely measures of the government have helped increase the imports of consumer goods significantly,1.0,timely measures of the government have helped increase the imports of consumer goods significantly,CONFIRMED,"The exact phrase about government measures helping to increase imports appears in the article's opening sentence, which explicitly states a causal link. The statement refers to 'the country' and national supply, so the scope matches a country-level effect.",Timely Government Measures,increases imports,Consumer Goods Imports,(Timely Government Measures) ── increases imports ──> (Consumer Goods Imports)
34,llm_response_0271_La_Prensa_Latina_Media_20230425.json,IMF team reviews Bangladesh's compliance with loan package conditions,2023-04-25,https://www.laprensalatina.com/imf-team-reviews-bangladeshs-compliance-with-loan-package-conditions/,La Prensa Latina Media,currency_log_return,causes depreciation,Russia-Ukraine war impact,"It has led to a sharp widening of Bangladesh's current account deficit, a depreciation of its currency, the taka, and a decline in foreign exchange reserves.",1.0,"It has led to a sharp widening of Bangladesh's current account deficit, a depreciation of its currency, the taka, and a decline in foreign exchange reserves.",CONFIRMED,"The article contains the sentence stating that Russia's war in Ukraine 'has led to ... a depreciation of its currency, the taka,' which explicitly attributes cause-and-effect at the country (Bangladesh) currency level.",Russia-Ukraine War,causes depreciation,Bangladeshi Taka,(Russia-Ukraine War) ── causes depreciation ──> (Bangladeshi Taka)
35,llm_response_0305_La_Prensa_Latina_Media_20230605.json,Bangladesh inflation hits decade high of 9.94%,2023-06-05,https://www.laprensalatina.com/bangladesh-inflation-hits-decade-high-of-9-94/,La Prensa Latina Media,imports,halts coal imports,dollar shortage halts coal imports,could not import coal due to a dollar shortage,0.989,"could not import coal due to a dollar shortage,",CONFIRMED,"The article contains the sentence 'it could not import coal due to a dollar shortage,' which explicitly states the dollar shortage caused the inability to import coal; this is described in the context of the country's largest power station and broader national dollar crisis, matching the national-level import scope.",Dollar Shortage,halts coal imports,Coal Imports,(Dollar Shortage) ── halts coal imports ──> (Coal Imports)
36,llm_response_0306_Daily_Sun_20230618.json,BB announces 'contractionary' MPS with focus on taming inflation     | Daily Sun |,2023-06-18,https://www.daily-sun.com/post/695700/BB-announces-contractionary-MPS-with-focus-on-taming-inflation,Daily Sun,currency_log_return,reduces exchange-rate volatility,unified market-driven exchange rate,"BB will no longer quote specific rates for buying or selling foreign exchanges, promoting stability in the foreign exchange market",0.996,"BB will no longer quote specific rates for buying or selling foreign exchanges, promoting stability in the foreign exchange market,",CONFIRMED,"The article contains the line 'BB will no longer quote specific rates for buying or selling foreign exchanges, promoting stability in the foreign exchange market,' which explicitly links the switch to a market-driven single exchange rate to greater FX market stability (i.e., reduced exchange-rate volatility) at the national level.",Bangladesh Bank policy,reduces exchange-rate volatility,Foreign Exchange Market,(Bangladesh Bank policy) ── reduces exchange-rate volatility ──> (Foreign Exchange Market)
